address,seed_same_naive,seed_same,seed_suspicious,less_5_tx,less_10_tx,interacted_other_ctbt,count_interaction_with_pool,count_interaction_with_toxic,count_interaction_with_airdrop_m,is_airdrop_master,count_interaction_with_tornado,count_interaction_with_disperse,has_interaction_toxic,has_no_pool_interaction,has_interaction_airdrop_m,has_interaction_tornado,has_interaction_disperse,count_flags,suspicious_1,flagged
0x1cc65c8389dba5293c133ad1ed4ff76d1475cdc6,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1cca19b823afa773b09708d94d2ee6ff96c60057,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1cd994cc8ea1caca762dbfbe86416402f1a7705d,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x1d383c0110c842180b39a7e4fd43cf4f8df136e0,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1d6caacb0528fd7efffe9029604dd2049a40b3ce,False,False,False,False,False,True,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x1d94e1fa4040f5ea275e8737e393f8c5489361a6,True,True,False,False,True,False,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x1e370f99ab421a8d99158a0c22a94f070fa94e7e,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1e3b2be887e6fe94435d08cebbe911ba6da7aff9,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x1ea6f4ed5fe82a81928b6187c13a70316396df32,True,True,False,False,True,True,0,0,0,False,0,0,False,True,False,False,False,3,True,False
0x1eaac36fa84c57a4e196b89d80e45729d86705da,False,False,False,False,False,True,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x1edb0cc1f95c4679c837a49c2c7e977b4d5ccf14,False,False,False,False,True,False,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x1f49377bae4e4555b61e641667e59f5cd89c7419,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x1f71804cead1e7f0518888e987c5ad4bed8605e0,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x1f7ffae0d8237cadcf4f90b71b79d993144bf672,True,True,False,False,False,False,86,0,0,False,0,0,False,False,False,False,False,0,False,False
0x1f9e7984eddb135ab6d6f354e229970bb332dcc4,True,True,False,False,False,True,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x201ae6883baf9a7a3759657eca7f57b571cad3e5,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x2026ba64190f021698489478c3cabdc5b05b0bec,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x206c386b081294a2fa558568b5db882f5b04db1a,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x20897a7d7e7bdc6fd1245561ee2214d47edbeff2,False,False,False,False,False,False,11,0,0,False,0,0,False,False,False,False,False,0,False,False
0x20bd3ae9171cf20436a8a7e8027c74bcc7e2dbc4,True,True,False,False,False,False,8,0,0,False,0,0,False,False,False,False,False,0,False,False
0x2125ea2d0deb449788a2865e759faeaef1dd3717,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x213b71f752fd6347c801403b5111b757daf69839,False,False,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x213d79966261aa482d71c1bda1761dfd99d6edf7,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x2167c1ef33c044c8fba1c55f35280da1ff8f31fa,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x217bcb41701b5729d65bf6baea6aba6f2657e770,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x2197cf96b2fc47392b3b777d82d7460f86172678,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x219e4a8d105c70e8e4cc94f3fa180b50f7e01b21,False,False,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x21aa8e36fae6e39d6780e04dd46764f6b2274d01,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x222cf246a3d56d61030ca49f5e6ffd6c20c3dc4f,False,False,False,False,True,True,0,0,0,False,0,0,False,True,False,False,False,3,True,False
0x22f99c571c9d1dca5b485833222c63df7530da85,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x238d3bda0737a3f639686087fb06ff2d84810a6d,True,True,False,False,False,False,18,0,1,False,1,0,False,False,True,True,False,2,False,True
0x23ae372bb7f2c7d80b5f49eb38ab9336c6e33458,False,False,False,False,False,True,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x23efc4f3d0e81176628e91a62741dd752627347d,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x24597c5c68687e816ffc0c69e064cb70bb62a9cd,True,True,False,False,False,False,19,0,0,False,0,0,False,False,False,False,False,0,False,False
0x245de1d9adfe2c4d9741e072f38c4ed9eff8997c,True,True,False,False,True,False,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x248528f5a2c3731fb598e8cc1dc5db5f997e74bc,False,False,False,False,False,False,4,0,0,False,0,0,False,True,False,False,False,1,False,False
